"Story","Title","Result","Date","Stability","Duration (s)"
"testing login on the serenity demo page","Mike wants to login on the website","SUCCESS","2022-08-17T09:35:23.255-05:00[America/Bogota]","0.0","18.08"
"testing the serenity demo page","Mike wants to test the website","FAILURE","2022-08-17T09:35:46.905-05:00[America/Bogota]","0.0","24.72"
